ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
11,simple,1,Handbag Holiday Cutile Oil,1,0,visible,Butter London,"With added vitamins A and E, this heavenly-smelling oil revives and restores dry, split cuticles.",,,taxable,,1,,,0,0,,,,,1,,165,207,Uncategorized,,,,,,,,,,,,0
12,simple,2,LIPPY,1,0,visible,Butter London,"Lippy: British slang for someone who makes impertinent or cheeky remarks. Introducing a range of long-wearing, lacquer-like lip glosses in shades to match the famous butter LONDON nail lacquers. From the punchy fuchsia pink of Primrose Hill to the true nude of Yummy Mummy, a hue to complement any look. All butter LONDON products are free of formaldehyde, bismuth, toluene, sulphates, DBP, parabens, synthetic fragrances.",,,taxable,,1,,,0,0,,,,,1,,182,223,Uncategorized,,,,,,,,,,,,0
13,simple,3,Hardwear P.D. Quick Top Coat,1,0,visible,Butter London,"Lock your lacquer. butter LONDON's quick-dry, ultra-glossy topcoat protects your lacquer, extending the life of your manicure.",,,taxable,,1,,,0,0,,,,,1,,201,108,Uncategorized,,,,,,,,,,,,0
14,simple,4,Horse Power Nail Fertilizer,1,0,visible,Butter London,"Reap what you sow. butter LONDON's Nail Fertilizer harnesses horsetailâ€”a powerful herb rich in nutrients, high in silica and proven to grow nails. Incredible results in just one month.",,,taxable,,1,,,0,0,,,,,1,,123,148,Uncategorized,,,,,,,,,,,,0
15,simple,5,Kitten Heels Powder Finish Foot Creme,1,0,visible,Butter London,"Kitten Heels, our miraculous Powder Finish Foot Creme, instantly hydrates, yet leaves a soft, powder finish to help keep your feet dry andÂ silky.",,,taxable,,1,,,0,0,,,,,1,,149,97,Uncategorized,,,,,,,,,,,,0
16,simple,6,Matte Finish Top Coat,1,0,visible,Butter London,"Created by butter LONDON's very own Nonie Creme at New York Fashion Week, Matte Finishâ„¢ has become the talk of the season! Create a new look for every lacquer using this shine-free topcoat. Turns any color matte, flat and utterly beautiful.",,,taxable,,1,,,0,0,,,,,1,,176,97,Uncategorized,,,,,,,,,,,,0
17,simple,7,Melt Away Cuticle Eliminator,1,0,visible,Butter London,"Out with the old, as they say. Melt Away breaks down and softens dead skin cells for gentle cuticle removal, eliminating the need to nip.",,,taxable,,1,,,0,0,,,,,1,,230,146,Uncategorized,,,,,,,,,,,,0
18,simple,8,Nail File,1,0,visible,Butter London,"The butter LONDON Nail File is made from a soft 180 grit that ensures nails are snag-free and never damaged. The unique shape is ergonomically designed to fit the curve of your natural nail, making shaping easy peasy and perfect every time. This is a handbag essential!",,,taxable,,1,,,0,0,,,,,1,,121,116,Uncategorized,,,,,,,,,,,,0
19,simple,9,Nail Foundation Flawless Base Coat,1,0,visible,Butter London,"Makeup for your nails. This silk-finish, stain-resistant, non-toxic basecoat provides the perfect foundation for butter LONDON 3 Free Lacquer. Matte results so beautiful, you can wear it alone.",,,taxable,,1,,,0,0,,,,,1,,68,110,Uncategorized,,,,,,,,,,,,0
20,simple,10,Nail Lacquer,1,0,visible,Butter London,"butter LONDON is a 3 Free company. Our nail lacquer and lip gloss contain NO Formaldehyde, NO Toluene, NO DBP, and NEVER have.",,,taxable,,1,,,0,0,,,,,1,,156,55,Uncategorized,,,,,,,,,,,,0
21,simple,11,Powder Room,1,0,visible,Butter London,"Removing your lacquer color may be a pain, but it doesn't have to stink with butter LONDON's lacquer remover. Powder Room Acetone Free Lacquer Remover gently removes all traces of nail lacquer from your nails while leaving behind a soft, powdery scent, turning a tough job into a small job.",,,taxable,,1,,,0,0,,,,,1,,54,234,Uncategorized,,,,,,,,,,,,0
22,simple,12,Rock Off Glycolic Callus Peel,1,0,visible,Butter London,"Hard skin simply melts away! Rock Off Glycolic Callus Peel removes calluses with an easy rollerball application and contains acids commonly used in skin care to exfoliate the surface of the skin. Key ingredients: - Glycolic acid is one of the most effective alpha-hydroxy acids. It exfoliates the top layer of skin exposing the new, soft layer of skin. - Salicylic acid, a beta hydroxy acid, has the ability to penetrate the skin to exfoliate inside the pores.",,,taxable,,1,,,0,0,,,,,1,,102,105,Uncategorized,,,,,,,,,,,,0
23,simple,13,Royal Punch Remover,1,0,visible,Butter London,"This coconut mango scent packs a punch! This Acetone-free Lacquer Remover gently removes all traces of lacquer from your nails and has a fruity, tropical scent.",,,taxable,,1,,,0,0,,,,,1,,216,48,Uncategorized,,,,,,,,,,,,0
24,simple,14,Stiletto Stick Hydrating Heel Balm,1,0,visible,Butter London,"Stiletto Stick is a hydrating balm to soften and smooth your heels without leaving an oily feel on the skin. Dry, cracked areas will fade away, offering instant relief that keeps heels soft with continued use.",,,taxable,,1,,,0,0,,,,,1,,196,149,Uncategorized,,,,,,,,,,,,0
25,simple,15,Angle Eye Shadow,1,0,visible,Bobbi Brown,"Ideal for applying shadow in the corner, in the crease or all over the lid. It is especially handy for contouring and smudging. Designed to be used with all Bobbi Brown powder eye shadow formulas.",,,taxable,,1,,,0,0,,,,,1,,105,205,Uncategorized,,,,,,,,,,,,0
